Date,Open,High,Low,Close,Adj Close,Volume
2010-03-25,225.009995,227.699997,224.350006,225.410004,161.559860,486500
2010-03-26,225.929993,225.940002,218.080002,219.270004,157.159058,538100
2010-03-29,219.000000,220.429993,215.429993,220.050003,157.718185,314600
2010-03-30,220.009995,220.119995,217.720001,219.130005,157.058762,222800
2010-03-31,218.770004,221.779999,216.710007,217.759995,156.076736,324800
2010-04-01,211.440002,211.979996,206.949997,211.050003,151.267532,1632300
2010-04-05,210.690002,210.690002,205.570007,206.000000,147.648026,645300
2010-04-06,203.619995,205.089996,198.059998,198.550003,142.308212,1399900
2010-04-07,198.750000,201.410004,197.860001,199.020004,142.645187,1117600
2010-04-08,197.559998,204.589996,197.399994,204.559998,146.615875,1329100
2010-04-09,203.979996,208.899994,203.979996,206.110001,147.726837,774700
2010-04-12,205.369995,207.000000,204.649994,205.800003,147.504608,561300
2010-04-13,205.690002,207.720001,204.539993,206.899994,148.293030,335900
2010-04-14,208.199997,211.429993,207.509995,211.380005,151.504044,586400
2010-04-15,212.000000,212.270004,206.619995,206.699997,148.149734,579800
2010-04-16,206.100006,206.679993,199.229996,200.750000,143.885132,821200
2010-04-19,199.520004,203.630005,199.419998,202.610001,145.218216,454800
2010-04-20,204.850006,204.850006,201.770004,203.179993,145.626755,319500
2010-04-21,202.399994,205.350006,199.279999,201.199997,144.207642,386700
2010-04-22,202.000000,208.330002,200.660004,207.789993,148.930969,698700
2010-04-23,206.910004,211.889999,206.910004,211.020004,151.246002,591600
2010-04-26,204.300003,204.300003,192.399994,192.949997,138.294540,1816800
2010-04-27,192.000000,193.779999,185.009995,185.500000,132.954865,1042000
2010-04-28,187.789993,190.990005,181.179993,184.440002,132.195129,1106400
2010-04-29,186.850006,191.169998,185.520004,190.389999,136.459747,699500
2010-04-30,189.429993,189.919998,182.479996,184.000000,131.879730,846600
2010-05-03,185.610001,187.410004,184.259995,185.759995,133.141220,421000
2010-05-04,184.039993,184.500000,176.960007,177.679993,127.349915,668200
2010-05-05,174.399994,178.440002,173.490005,174.800003,125.285789,766600
2010-05-06,173.800003,179.419998,167.240005,171.619995,123.006538,1279100
2010-05-07,171.600006,175.990005,169.529999,172.119995,123.364899,1232400
2010-05-10,176.520004,181.110001,174.610001,176.570007,126.554436,597500
2010-05-11,174.619995,174.619995,169.759995,170.990005,122.555016,940400
2010-05-12,171.529999,174.179993,171.009995,173.970001,124.690880,463900
2010-05-13,174.240005,175.259995,172.050003,172.369995,123.544106,314000
2010-05-14,171.600006,172.729996,168.649994,169.720001,121.644783,517100
2010-05-17,169.539993,172.699997,167.139999,171.000000,122.562180,552400
2010-05-18,172.259995,175.809998,167.520004,168.490005,120.763161,582900
2010-05-19,167.919998,169.649994,164.000000,167.949997,120.376122,535600
2010-05-20,165.770004,165.770004,160.100006,160.100006,114.749718,657800
2010-05-21,159.179993,167.050003,158.000000,166.470001,119.315369,1070800
2010-05-24,167.509995,169.679993,161.949997,161.960007,116.082878,586400
2010-05-25,158.020004,162.570007,155.500000,162.440002,116.426895,701800
2010-05-26,164.750000,165.779999,162.339996,164.039993,117.573624,1075000
2010-05-27,168.639999,172.479996,166.350006,172.389999,123.558472,725200
2010-05-28,172.490005,174.080002,166.729996,167.880005,120.325943,575900
2010-06-01,165.089996,167.880005,162.899994,163.199997,116.971619,338500
2010-06-02,165.399994,165.699997,162.559998,164.770004,118.096901,495900
2010-06-03,167.880005,167.880005,162.220001,163.839996,118.147346,353600
2010-06-04,160.990005,162.380005,159.059998,159.490005,115.010551,580600
2010-06-07,160.619995,162.179993,157.320007,157.500000,113.575554,546200
2010-06-08,156.919998,158.380005,151.809998,156.490005,112.847176,992100
2010-06-09,158.850006,158.850006,154.389999,154.910004,111.707809,507800
2010-06-10,156.179993,158.520004,153.960007,156.979996,113.200539,580800
2010-06-11,154.110001,159.259995,154.110001,159.139999,114.758141,328900
2010-06-14,158.960007,161.199997,157.949997,158.770004,114.491364,421400
2010-06-15,159.990005,163.289993,158.839996,163.279999,117.743530,342900
2010-06-16,161.309998,163.419998,160.309998,161.520004,116.474403,331800
2010-06-17,162.259995,162.389999,157.690002,159.369995,114.923996,341500
2010-06-18,158.850006,160.449997,158.399994,158.770004,114.491364,329100
2010-06-21,160.779999,161.850006,157.020004,157.919998,113.878372,406600
2010-06-22,156.899994,158.809998,155.830002,155.839996,112.378448,246100
2010-06-23,155.460007,156.600006,153.949997,155.050003,111.808731,296600
2010-06-24,154.580002,154.789993,150.550003,150.740005,108.700745,301200
2010-06-25,150.660004,155.669998,150.279999,152.339996,109.854530,676800
2010-06-28,152.800003,153.839996,151.529999,152.139999,109.710297,243400
2010-06-29,149.470001,149.929993,145.199997,145.600006,104.994217,470000
2010-06-30,144.860001,147.050003,143.009995,143.399994,103.407776,311400
2010-07-01,145.350006,145.350006,138.419998,140.320007,101.186760,639800
2010-07-02,140.440002,144.020004,139.279999,142.789993,102.967880,533600
2010-07-06,144.179993,147.610001,143.350006,145.210007,104.713020,473100
2010-07-07,145.199997,148.610001,144.619995,148.479996,107.071030,332600
2010-07-08,149.910004,152.250000,148.880005,152.250000,109.789658,462800
2010-07-09,151.940002,155.259995,150.550003,154.970001,111.751060,373300
2010-07-12,153.919998,155.690002,152.940002,154.149994,111.159752,194300
2010-07-13,155.240005,158.449997,155.100006,156.899994,113.142830,366900
2010-07-14,156.679993,156.759995,153.110001,155.250000,111.952972,267000
2010-07-15,154.770004,155.380005,151.020004,153.990005,111.044418,278700
2010-07-16,152.949997,152.970001,148.960007,149.139999,107.546967,360400
2010-07-19,150.000000,150.210007,146.839996,148.130005,106.818642,201900
2010-07-20,146.360001,149.470001,145.199997,149.360001,107.705620,443100
2010-07-21,150.250000,150.990005,141.009995,143.330002,103.357330,1127600
2010-07-22,144.649994,152.199997,144.000000,151.210007,109.039673,587200
2010-07-23,150.279999,155.589996,150.009995,154.490005,111.404961,466000
2010-07-26,155.250000,159.889999,155.009995,159.649994,115.125916,439300
2010-07-27,160.289993,162.639999,157.190002,157.580002,113.633194,388500
